land_id,project_type,total_area_acres,num_claimants,documents_complete,legal_dispute,ownership_conflict,compensation_verified,forest_clearance_required,forest_clearance_obtained,gram_sabha_noc_obtained,delayed,days_delayed,risk_level
L0107,Railway,0.71,5,1,0,0,1,0,1,1,0,1,Low
L0108,Metro,5.09,5,1,1,0,1,0,1,1,1,213,High
L0109,Airport,19.68,3,0,0,1,1,1,0,1,1,338,High
L0110,Railway,0.68,4,1,0,0,1,0,1,1,0,0,Low
L0111,Highway,9.47,3,1,0,0,1,0,1,1,0,3,Low
L0112,Highway,8.33,2,1,0,0,1,0,1,1,0,0,Low
L0113,Airport,6.63,5,0,0,1,1,1,0,1,1,336,High
L0114,Other,11.54,4,1,0,0,1,0,1,1,0,2,Low
L0115,Airport,4.36,4,1,0,0,0,0,1,0,1,152,Medium
L0116,Railway,3.64,3,0,0,1,0,0,1,1,1,296,High
L0117,Railway,15.67,4,1,0,0,0,1,0,1,1,225,Medium
L0118,Metro,7.51,3,1,0,0,1,0,1,1,0,4,Low
L0119,Highway,1.15,5,1,0,1,1,0,1,1,0,13,Medium
L0120,Highway,4.79,4,1,0,1,1,1,0,1,1,251,Medium
L0121,Highway,17.39,5,0,0,1,0,0,1,1,1,277,High
L0122,Other,25.29,4,1,0,0,1,0,1,1,0,8,Low
L0123,Railway,15.84,2,0,0,0,0,1,0,1,1,298,High
L0124,Railway,11.69,4,1,0,0,0,0,1,1,0,2,Medium
L0125,Highway,18.49,5,0,0,1,1,1,1,1,1,220,Medium
L0126,Airport,12.1,3,1,1,0,0,0,1,1,1,228,High
L0127,Other,20.68,5,1,1,0,0,0,1,1,1,261,High
L0128,Railway,40.33,2,1,0,0,1,1,0,1,0,14,Medium
L0129,Metro,3.16,2,1,0,0,1,0,1,1,0,8,Low
L0130,Hospital,11.93,4,1,1,0,1,0,1,1,1,212,Medium
L0131,Hospital,0.97,8,1,0,1,1,0,1,1,0,0,Medium
L0132,Highway,38.12,4,0,0,0,0,1,0,1,1,254,High
L0133,Highway,1.53,6,1,1,0,1,0,1,1,1,210,Medium
L0134,Railway,12.0,2,0,1,0,1,0,1,1,1,289,High
L0135,Other,3.8,2,1,0,0,1,0,1,0,0,4,Medium
L0136,Hospital,16.15,4,0,0,0,0,0,1,1,0,10,Medium
L0137,Hospital,3.38,7,1,0,0,1,0,1,1,0,0,Low
L0138,Highway,16.06,3,1,0,0,1,0,1,1,0,3,Low
L0139,Airport,10.2,1,1,0,1,0,0,1,1,1,249,Medium
L0140,Railway,8.87,2,0,0,0,0,0,1,1,1,203,Medium
L0141,Highway,12.1,3,1,0,0,0,0,1,1,1,138,Medium
L0142,Metro,11.56,1,0,0,0,1,0,1,1,1,177,Medium
L0143,Airport,19.15,3,0,0,0,1,0,1,1,0,8,Medium
L0144,Airport,2.01,5,0,1,1,0,1,0,1,1,471,High
L0145,Other,18.81,2,1,0,0,1,0,1,1,0,7,Low
L0146,Highway,28.61,3,0,1,1,1,0,1,1,1,350,High
L0147,Highway,1.2,3,1,0,0,1,1,0,1,0,0,Medium
L0148,Other,2.3,5,1,0,0,1,0,1,1,0,4,Low
L0149,Highway,16.25,4,1,0,0,1,1,1,1,0,15,Low
L0150,Metro,9.39,4,0,0,0,1,0,1,1,1,140,Medium
L0151,Highway,13.59,2,1,0,0,1,0,1,1,0,12,Low
L0152,Railway,5.48,5,0,1,0,1,0,1,1,1,267,High
L0153,Airport,0.83,2,1,0,0,0,0,1,0,1,155,Medium
L0154,Highway,2.98,2,1,0,0,1,1,0,1,0,4,Medium
L0155,Metro,2.68,4,0,0,0,1,0,1,1,1,149,Medium
L0156,Metro,1.55,9,0,0,0,0,0,1,1,1,197,High
L0157,Highway,21.28,4,0,0,0,1,0,1,0,1,143,Medium
L0158,Railway,21.64,3,0,0,1,0,1,1,1,1,311,High
L0159,Railway,10.83,5,0,0,1,0,0,1,1,1,301,High
L0160,Railway,3.37,1,1,0,0,1,0,1,1,0,8,Low
L0161,Highway,29.03,3,1,0,0,1,1,0,1,0,10,Medium
L0162,Other,4.44,6,1,0,0,1,0,1,1,0,16,Low
L0163,Highway,15.1,3,1,1,0,1,1,1,1,1,225,Medium
L0164,Railway,54.65,5,1,0,0,1,1,1,1,0,10,Low
L0165,Railway,0.9,4,1,0,1,1,1,1,1,1,200,Medium
L0166,Highway,9.12,2,1,0,0,1,0,1,1,0,8,Low
L0167,Highway,4.02,3,1,1,1,0,0,1,1,1,370,High
L0168,Metro,9.74,2,1,0,0,1,0,1,1,0,1,Medium
L0169,Railway,1.04,5,0,0,0,1,1,1,0,1,138,Medium
L0170,Railway,29.08,7,0,0,1,0,0,1,1,1,256,High
L0171,Metro,19.83,3,1,0,0,1,0,1,1,1,69,Medium
L0172,Railway,11.31,1,1,0,0,1,0,1,1,0,18,Low
L0173,Highway,9.66,2,1,0,0,1,1,1,1,0,8,Medium
L0174,Hospital,14.65,4,1,0,0,1,0,1,0,0,19,Low
L0175,Railway,5.11,6,0,1,1,1,1,1,1,1,372,High
L0176,Railway,19.33,4,1,0,0,0,1,0,1,1,208,Medium
L0177,Railway,40.4,2,0,1,0,0,0,1,1,1,321,High
L0178,Other,5.02,7,1,0,1,0,0,1,1,1,228,Medium
L0179,Highway,3.9,5,0,0,0,1,0,1,1,1,155,Medium
L0180,Railway,61.59,5,1,0,1,1,1,0,0,1,240,High
L0181,Railway,7.86,1,0,0,0,1,0,1,1,0,11,Medium
L0182,Railway,4.82,5,1,0,1,1,0,1,1,1,196,Medium
L0183,Airport,10.73,3,1,0,0,1,1,0,1,1,170,Medium
L0184,Airport,17.76,2,1,0,0,1,0,1,1,0,10,Low
L0185,Railway,19.42,4,0,1,1,1,1,1,0,1,330,High
L0186,Hospital,11.91,2,1,1,0,0,0,1,1,1,227,Medium
L0187,Metro,10.83,2,1,1,0,0,0,1,0,1,226,High
L0188,Highway,6.69,3,1,0,0,1,1,1,1,0,8,Low
L0189,Other,11.6,3,1,0,0,1,0,1,1,0,2,Low
L0190,Airport,21.25,4,1,0,0,1,1,0,1,1,151,Medium
L0191,Railway,1.8,6,1,0,1,0,0,1,0,1,228,High
L0192,Railway,19.17,6,1,0,0,1,0,1,1,0,1,Low
L0193,Airport,13.67,6,0,0,0,1,0,1,1,0,1,Medium
L0194,Railway,6.04,2,1,0,0,1,0,1,1,0,16,Low
L0195,Highway,14.09,3,1,0,0,1,1,0,1,0,3,Medium
L0196,Highway,1.92,4,0,0,0,0,1,1,1,1,181,Medium
L0197,Other,4.22,3,1,0,0,1,0,1,1,0,3,Low
L0198,Railway,2.91,3,1,0,0,1,0,1,1,0,6,Low
L0199,Hospital,14.01,5,1,1,0,1,0,1,1,0,8,Medium
L0200,Metro,56.02,5,1,0,1,1,0,1,0,1,174,Medium
L0201,Airport,10.86,4,1,0,0,1,1,1,0,0,1,Medium
L0202,Highway,12.46,4,1,0,0,0,1,0,1,1,194,Medium
L0203,Highway,7.86,6,1,0,0,1,1,0,1,1,196,Medium
L0204,Highway,7.87,3,1,1,1,1,1,0,1,1,365,High
L0205,Other,17.49,4,0,0,0,1,0,1,1,0,0,Medium
L0206,Railway,31.78,3,1,0,0,0,1,1,1,0,8,Medium
L0207,Highway,4.59,4,1,0,0,1,0,1,0,0,12,Low
L0208,Highway,10.46,4,1,0,1,0,1,1,1,1,228,High
L0209,Metro,3.56,5,1,0,1,1,0,1,0,1,172,High
L0210,Railway,8.76,3,0,0,0,0,1,0,1,1,247,High
L0211,Highway,21.54,1,1,0,0,1,0,1,1,0,6,Low
L0212,Railway,11.21,2,0,0,0,0,1,0,1,1,248,High
L0213,Other,3.55,6,0,0,0,1,0,1,0,0,7,Medium
L0214,Metro,1.48,5,0,0,1,1,0,1,1,1,234,High
L0215,Highway,10.35,5,0,1,1,1,1,1,0,1,370,High
L0216,Highway,5.58,8,1,0,1,1,1,1,0,1,189,Medium
L0217,Airport,11.98,3,1,0,0,1,1,1,1,0,13,Medium
L0218,Metro,12.27,4,1,1,0,1,0,1,1,1,231,Medium
L0219,Metro,1.14,3,1,0,0,1,0,1,1,0,9,Low
L0220,Railway,1.2,6,0,0,0,1,1,1,0,0,0,Medium
L0221,Railway,2.87,3,1,0,0,1,1,1,1,0,2,Low
L0222,Metro,42.01,2,1,1,0,0,0,1,1,1,244,High
L0223,Highway,10.17,5,1,0,0,1,1,1,1,0,1,Medium
L0224,Other,0.58,4,1,0,0,1,0,1,0,0,1,Low
L0225,Airport,12.02,5,0,0,0,1,0,1,1,0,44,Low
L0226,Highway,10.0,6,0,0,1,0,1,0,1,1,384,High
L0227,Airport,11.7,4,1,0,0,1,1,0,1,1,190,Medium
L0228,Airport,7.19,4,0,0,0,1,1,0,1,1,237,High
L0229,Railway,7.51,3,1,0,0,0,1,1,1,0,0,Medium
L0230,Airport,6.82,3,0,1,1,1,0,1,1,1,349,High
L0231,Railway,20.17,1,1,0,0,1,0,1,1,0,1,Low
L0232,Hospital,19.02,4,0,0,0,1,0,1,1,0,5,Medium
L0233,Airport,26.39,4,1,1,0,1,1,1,1,1,216,Medium
L0234,Airport,9.18,2,1,1,1,0,1,1,1,1,323,High
L0235,Highway,4.97,2,1,0,0,1,0,1,1,0,9,Low
L0236,Railway,17.31,3,1,0,1,1,0,1,0,1,188,Medium
L0237,Highway,14.63,4,0,0,0,1,1,1,1,1,179,Medium
L0238,Hospital,16.27,5,1,1,1,1,0,1,0,1,310,High
L0239,Hospital,8.04,2,0,0,0,0,0,1,0,1,200,Medium
L0240,Hospital,9.96,6,0,1,1,1,0,1,1,1,384,High
L0241,Railway,7.99,4,1,1,0,0,0,1,1,1,232,Medium
L0242,Railway,10.03,5,1,1,0,1,1,1,1,1,195,Medium
L0243,Airport,11.41,5,1,0,0,1,1,1,1,0,5,Medium
L0244,Highway,1.46,6,1,0,1,1,1,1,1,1,207,Medium
L0245,Highway,13.26,3,1,0,0,1,0,1,1,0,4,Low
L0246,Highway,6.94,7,1,0,0,1,1,0,1,0,9,Medium
L0247,Other,21.53,5,1,0,0,1,0,1,0,0,0,Low
L0248,Railway,0.69,1,1,0,0,0,0,1,1,0,22,Medium
L0249,Railway,6.68,2,1,0,0,0,0,1,1,0,3,Medium
L0250,Metro,12.53,5,1,0,0,1,0,1,1,0,15,Medium
L0251,Highway,31.59,2,0,0,0,1,0,1,1,0,0,Medium
L0252,Metro,7.74,3,1,1,1,1,0,1,1,1,307,High
L0253,Railway,8.54,3,1,0,0,1,1,1,1,0,7,Low
L0254,Hospital,26.24,5,1,0,1,1,0,1,1,0,18,Medium
L0255,Metro,44.01,3,1,0,1,1,0,1,0,1,193,Medium
L0256,Highway,8.23,3,1,0,0,0,1,1,1,0,1,Medium
L0257,Metro,3.48,1,1,0,0,1,0,1,0,1,64,Medium
L0258,Railway,18.7,3,1,1,0,1,1,0,1,1,293,High
L0259,Railway,15.99,6,1,0,0,1,1,1,1,0,14,Low
L0260,Railway,24.08,4,1,1,1,0,0,1,1,1,340,High
L0261,Hospital,6.69,5,1,0,1,1,0,1,1,0,6,Medium
L0262,Metro,6.07,6,1,0,1,0,0,1,1,1,215,High
L0263,Hospital,3.95,2,1,0,0,1,0,1,1,0,0,Low
L0264,Railway,30.92,1,0,0,0,1,0,1,1,0,11,Medium
L0265,Highway,8.52,7,0,1,1,1,0,1,0,1,352,High
L0266,Metro,4.42,7,1,0,0,0,0,1,0,1,116,High
L0267,Railway,19.9,3,1,0,0,1,0,1,1,0,11,Low
L0268,Highway,5.58,1,1,0,0,1,0,1,1,0,3,Medium
L0269,Hospital,35.79,5,1,1,0,1,0,1,0,1,219,Medium
L0270,Railway,23.23,3,1,0,0,0,1,1,1,0,2,Low
L0271,Railway,7.65,3,1,1,0,1,1,1,1,1,223,Medium
L0272,Railway,6.68,6,0,1,1,1,0,1,1,1,362,High
L0273,Highway,14.25,5,0,0,1,0,1,1,1,1,257,High
L0274,Railway,10.37,3,0,0,1,1,1,1,1,1,268,High
L0275,Metro,16.61,1,0,0,0,0,0,1,1,1,218,High
L0276,Railway,19.43,1,0,0,0,0,1,1,1,1,201,Medium
L0277,Metro,4.0,6,1,0,0,1,0,1,1,0,14,Low
L0278,Highway,6.26,5,1,0,1,1,0,1,1,0,5,Low
L0279,Railway,2.61,5,1,0,1,1,0,1,1,1,181,Medium
L0280,Other,1.07,6,1,0,0,1,0,1,1,0,6,Low
L0281,Highway,29.03,2,0,0,0,1,0,1,1,1,126,Medium
L0282,Other,30.28,6,1,0,0,0,0,1,0,0,6,Medium
L0283,Hospital,7.27,5,1,0,1,0,0,1,1,1,199,Medium
L0284,Hospital,21.11,3,1,0,0,1,0,1,1,0,4,Low
L0285,Railway,4.86,2,1,0,0,1,0,1,1,0,12,Low
L0286,Airport,14.57,3,0,1,1,0,0,1,0,1,381,High
L0287,Highway,3.66,4,1,1,0,0,0,1,1,1,272,Medium
L0288,Metro,5.93,2,1,1,0,1,0,1,1,1,234,High
L0289,Railway,1.12,5,0,0,0,1,1,0,1,1,244,Medium
L0290,Hospital,17.58,5,1,1,1,1,0,1,1,1,305,Medium
L0291,Railway,2.11,4,1,0,0,1,1,1,1,0,16,Low
L0292,Airport,2.33,3,0,0,0,0,0,1,1,1,173,Medium
L0293,Highway,54.0,7,1,0,0,1,0,1,0,0,6,Medium
L0294,Airport,0.7,2,1,0,0,1,0,1,1,0,16,Medium
L0295,Highway,2.12,7,1,0,0,1,0,1,1,0,7,Low
L0296,Airport,3.46,2,0,0,0,1,1,1,0,1,159,Medium
L0297,Highway,0.84,8,1,0,0,1,0,1,1,0,6,Low
L0298,Hospital,2.14,9,1,0,0,1,0,1,1,0,11,Low
L0299,Highway,31.47,2,1,0,1,1,0,1,1,1,166,Medium
L0300,Hospital,30.57,3,0,0,0,0,0,1,1,1,181,Medium
L0301,Metro,2.43,5,1,0,0,1,0,1,0,0,5,Medium
L0302,Highway,1.51,4,1,1,0,1,0,1,1,1,181,Medium
L0303,Metro,14.26,2,1,0,1,1,0,1,1,1,203,Medium
L0304,Other,1.66,6,1,0,1,1,0,1,1,1,172,Medium
L0305,Metro,9.85,2,1,1,0,1,0,1,1,1,225,High
L0306,Metro,13.2,4,1,0,1,1,0,1,1,1,187,Medium
L0307,Metro,5.83,2,1,1,1,1,0,1,1,1,318,High
L0308,Metro,4.9,5,1,0,0,0,0,1,1,1,139,Medium
L0309,Metro,73.66,4,1,0,0,1,0,1,1,0,13,Low
L0310,Other,13.06,4,1,0,0,0,0,1,1,0,1,Medium
L0311,Airport,3.31,2,1,0,0,1,0,1,1,0,19,Low
L0312,Railway,4.72,2,0,0,0,1,0,1,1,0,14,Medium
L0313,Highway,8.27,6,0,0,0,1,1,1,1,1,176,Medium
L0314,Hospital,2.44,5,1,0,0,1,0,1,1,0,0,Low
L0315,Highway,3.02,6,1,1,1,0,1,0,1,1,453,High
L0316,Other,9.85,4,1,1,1,1,0,1,1,1,279,High
L0317,Railway,6.12,2,0,1,0,1,1,0,0,1,377,High
L0318,Highway,8.96,2,1,0,0,1,0,1,1,0,0,Low
L0319,Highway,2.96,3,1,0,0,0,1,1,1,0,3,Low
L0320,Other,14.34,4,1,1,1,1,0,1,1,1,316,High
L0321,Railway,13.2,2,1,0,1,1,0,1,1,0,0,Medium
L0322,Metro,3.3,3,1,0,0,1,0,1,0,1,98,Medium
L0323,Highway,25.39,4,1,0,0,1,0,1,1,0,13,Medium
L0324,Hospital,1.24,3,1,0,0,1,0,1,1,0,9,Low
L0325,Railway,2.21,6,1,0,0,1,1,1,1,0,6,Low
L0326,Metro,3.33,2,1,0,0,1,0,1,1,0,6,Low
L0327,Airport,16.44,3,1,1,0,1,1,1,1,1,224,Medium
L0328,Railway,1.83,3,1,1,0,0,1,0,1,1,353,High
L0329,Hospital,10.83,8,0,0,1,0,0,1,1,1,286,Medium
L0330,Hospital,2.84,5,1,0,0,1,0,1,1,0,2,Low
L0331,Highway,5.36,7,0,0,1,1,1,1,1,1,269,Medium
L0332,Airport,17.63,3,1,0,0,1,0,1,1,0,9,Low
L0333,Other,6.5,4,1,1,0,1,0,1,1,0,4,Medium
L0334,Highway,3.16,7,0,0,1,0,0,1,1,1,262,High
L0335,Highway,11.49,6,1,0,1,0,1,0,1,1,302,High
L0336,Hospital,24.22,3,1,0,0,1,0,1,1,0,15,Low
L0337,Highway,15.15,5,1,1,0,1,1,1,0,1,215,Medium
L0338,Metro,4.92,8,0,0,1,0,0,1,1,1,308,High
L0339,Hospital,1.08,5,1,0,1,1,0,1,1,0,29,Medium
L0340,Railway,5.8,5,1,0,1,0,1,0,1,1,303,High
L0341,Railway,6.85,6,1,1,0,1,1,0,1,1,301,Medium
L0342,Highway,0.5,5,1,1,0,1,1,1,1,1,222,High
L0343,Airport,15.4,4,1,1,0,1,1,1,1,1,196,Medium
L0344,Hospital,24.62,1,1,0,0,1,0,1,0,0,11,Low
L0345,Highway,9.78,5,0,1,1,1,1,0,1,1,433,High
L0346,Railway,2.95,2,1,0,0,1,0,1,1,0,6,Low
L0347,Hospital,5.47,8,1,0,1,0,0,1,0,1,210,High
L0348,Highway,23.59,1,1,0,0,1,0,1,0,0,1,Medium
L0349,Highway,4.59,4,1,0,0,1,0,1,1,0,6,Low
L0350,Highway,6.19,2,1,0,0,1,1,1,1,0,23,Low
L0351,Highway,17.8,3,1,0,0,0,1,0,0,1,202,High
L0352,Other,21.1,8,1,0,0,1,0,1,0,0,7,Medium
L0353,Railway,17.59,4,1,0,0,0,1,1,1,0,3,Medium
L0354,Highway,3.21,4,0,0,0,1,1,1,1,1,149,Medium
L0355,Highway,16.74,5,1,1,0,1,0,1,1,1,188,Medium
L0356,Railway,8.8,3,1,0,0,1,0,1,1,0,19,Low
L0357,Metro,4.77,8,0,0,0,1,0,1,1,1,158,Medium
L0358,Railway,12.59,4,1,0,0,1,0,1,1,0,25,Low
L0359,Railway,8.23,5,0,1,1,0,0,1,1,1,434,High
L0360,Airport,23.84,6,1,0,0,0,1,0,1,1,237,Medium
L0361,Railway,8.2,4,0,0,0,1,1,0,1,1,216,Medium
L0362,Railway,17.04,6,0,0,1,1,0,1,1,1,212,Medium
L0363,Railway,9.62,4,1,0,0,1,0,1,1,0,7,Low
L0364,Metro,8.58,4,0,0,0,1,0,1,1,1,173,Medium
L0365,Airport,20.12,2,1,0,0,1,0,1,0,1,117,Medium
L0366,Highway,12.22,2,0,0,0,1,0,1,1,0,12,Medium
L0367,Airport,7.82,3,1,0,0,1,0,1,1,0,10,Low
L0368,Railway,35.04,2,1,0,0,1,0,1,1,0,7,Low
L0369,Hospital,3.66,6,1,0,0,1,0,1,1,0,0,Low
L0370,Railway,1.94,3,0,1,1,1,1,0,0,1,453,High
L0371,Other,6.18,2,1,0,0,0,0,1,1,0,16,Low
L0372,Metro,28.04,3,1,1,0,1,0,1,1,1,227,High
L0373,Highway,6.1,6,0,0,0,1,1,0,0,1,243,Medium
L0374,Railway,20.86,3,1,0,0,0,0,1,1,1,146,Medium
L0375,Railway,20.62,2,1,0,0,1,0,1,1,0,4,Low
L0376,Highway,3.23,3,0,0,0,1,0,1,0,1,162,Medium
L0377,Other,3.46,5,0,0,1,0,0,1,1,1,302,High
L0378,Other,24.58,3,0,0,0,1,0,1,1,0,2,Low
L0379,Other,2.19,5,1,0,0,1,0,1,1,0,2,Low
L0380,Railway,17.47,5,1,1,0,1,1,1,0,1,195,Medium
L0381,Railway,4.62,4,1,1,1,1,1,1,1,1,279,High
L0382,Railway,5.29,2,1,0,0,1,1,0,1,0,11,Medium
L0383,Highway,1.08,1,1,1,0,1,1,1,1,1,222,Medium
L0384,Railway,8.28,8,1,0,1,0,0,1,1,1,223,High
L0385,Hospital,15.31,6,0,1,1,1,0,1,1,1,382,High
L0386,Metro,29.34,1,0,0,0,0,0,1,0,1,184,High
L0387,Airport,0.79,6,0,1,0,0,1,1,0,1,308,High
L0388,Metro,9.19,5,1,0,1,1,0,1,1,1,184,Medium
L0389,Metro,5.52,3,0,0,0,1,0,1,1,1,146,Medium
L0390,Airport,13.25,6,1,1,1,1,1,1,1,1,283,High
L0391,Railway,27.61,5,0,0,0,0,1,1,1,0,1,Medium
L0392,Railway,44.72,5,1,0,0,0,0,1,1,0,7,Medium
